System_Name	ip	Tile(s)	Stream(s)	Use_OSC_In	Send_OSC_Out	Do_Render
RX-01	192.168.103.125	sync	stream 0	0	1	0
RX-02	192.168.103.126	W1A00a, W1A01a	stream 1, stream 2	1	0	1
RX-03	192.168.103.127	W1A01b	stream 3	1	0	1
RX-04	192.168.103.128	W1A01c, W1A02a	stream 4, stream 5	1	0	1
RX-05	192.168.103.129	W1A02b, W1A03a	stream 6, stream 7	1	0	1
RX-06	192.168.103.130	W1A03b	stream 8	1	0	1
RX-07	192.168.103.131	W1A03c, W1A04a	stream 9, stream 10	1	0	1
RX-08	192.168.103.132	F1A01a	stream 11	1	0	1
RX-09	192.168.103.133	F1A01b	stream 12	1	0	1
RX-10	192.168.103.134	F1A01c	stream 13	1	0	1
RX-11	192.168.103.135			1	0	1
RX-12	192.168.103.136			1	0	1
