System_Name	ip	Tile(s)	Use_OSC_In	Send_OSC_Out	Do_Render
RX-01	192.168.103.101	sync	0	1	0
RX-03	192.168.103.103	W1A00aA, W1A01aA	1	0	1
RX-04	192.168.103.104	W1A01bB	1	0	1
RX-05	192.168.103.105	W1A01cB, W1A02aB, W1A02aC	1	0	1
RX-06	192.168.103.106	W1A02bC, W1A03aC	1	0	1
RX-07	192.168.103.107	W1A03bD	1	0	1
RX-08	192.168.103.108	W1A03cD, W1A04aD, W1A04aA	1	0	1
RX-09	192.168.103.109	F1A01aM	1	0	1
RX-10	192.168.103.110	F1A01bM	1	0	1
RX-11	192.168.103.111	F1A01cM	1	0	1
RX-12	192.168.103.112		1	0	1
RX-13	192.168.103.113		1	0	1
