System_Name	ip	Tile(s)	Use_OSC_In	Send_OSC_Out	Do_Render
RX-02	192.168.104.102	S2AB1a	0	1	0
RX-14	192.168.104.114	F2A1a	1	0	1
RX-15	192.168.104.115	F2A1b	1	0	1
RX-16	192.168.104.116	F2A1c	1	0	1
RX-17	192.168.104.117	F2A2a	1	0	1
RX-18	192.168.104.118	F2A2b	1	0	1
RX-19	192.168.104.119	F2A2c	1	0	1
RX-20	192.168.104.120	F2A2d	1	0	1
RX-21	192.168.104.121	F2A3a	1	0	1
RX-22	192.168.104.122	F2A3b	1	0	1
RX-23	192.168.104.123	F2A3c	1	0	1
RX-24	192.168.104.124	F2A3d	1	0	1
RX-25	192.168.104.125	F2A4a	1	0	1
RX-26	192.168.104.126	F2A4b	1	0	1
RX-27	192.168.104.127	F2A4c	1	0	1
RX-28	192.168.104.128	W2A1a	1	0	1
RX-29	192.168.104.129	W2A1b	1	0	1
RX-30	192.168.104.130	W2A1c	1	0	1
RX-31	192.168.104.131	W2A1d	1	0	1
RX-32	192.168.104.132	W2A2a	1	0	1
RX-33	192.168.104.133	W2A2b	1	0	1
RX-34	192.168.104.134	W2B1a	1	0	1
RX-35	192.168.104.135	W2B1b	1	0	1
RX-36	192.168.104.136	W2B1c	1	0	1
RX-37	192.168.104.137	W2B1d	1	0	1
RX-38	192.168.104.138	W2B2a	1	0	1
RX-39	192.168.104.139	W2B2b	1	0	1
RX-40	192.168.104.140	W2C1a	1	0	1
RX-41	192.168.104.141	W2C1b	1	0	1
RX-42	192.168.104.142	W2D1a	1	0	1
RX-43	192.168.104.143	S2AC1a	1	0	1
RX-44	192.168.104.144	S2AB1a	1	0	1
RX-45	192.168.104.145	S2AB1a	1	0	1
