System_Name	ip	Tile(s)	Stream(s)	Use_OSC_In	Send_OSC_Out	Do_Render
RX-02	192.168.104.102	sync		0	1	0
RX-14	192.168.104.114	F2A01a, F2A02a		1	0	1
RX-15	192.168.104.115	F2A01b, F2A02b		1	0	1
RX-16	192.168.104.116	F2A01c, F2A02c		1	0	1
RX-17	192.168.104.117	F2A01d, F2A02d		1	0	1
RX-18	192.168.104.118	F2A03a, F2A04a		1	0	1
RX-19	192.168.104.119	F2A03b, F2A04b		1	0	1
RX-20	192.168.104.120	F2A03c, F2A04c		1	0	1
RX-21	192.168.104.121	F2A03d, F2A04d		1	0	1
RX-22	192.168.104.122	F2A05a, F2A06a		1	0	1
RX-23	192.168.104.123	F2A05b, F2A06b		1	0	1
RX-24	192.168.104.124	F2A05c, F2A06c		1	0	1
RX-25	192.168.104.125	F2A05d, F2A06d		1	0	1
RX-26	192.168.104.126	F2A07a		1	0	1
RX-27	192.168.104.127	F2A07b		1	0	1
RX-28	192.168.104.128	F2A07c		1	0	1
RX-29	192.168.104.129	F2A07d		1	0	1
RX-30	192.168.104.130	W2A00a, W2A01a		1	0	1
RX-31	192.168.104.131	W2A01b		1	0	1
RX-32	192.168.104.132	W2A01c		1	0	1
RX-33	192.168.104.133	W2A01d, W2A02a		1	0	1
RX-34	192.168.104.134	W2A03a, W2A03b		1	0	1
RX-35	192.168.104.135	W2A03c, W2A04a		1	0	1
RX-36	192.168.104.136	W2B01a		1	0	1
RX-37	192.168.104.137	W2B01b		1	0	1
RX-38	192.168.104.138	W2B01c		1	0	1
RX-39	192.168.104.139	W2B01d, W2B02a		1	0	1
RX-40	192.168.104.140	W2B02b, W2B03a		1	0	1
RX-41	192.168.104.141	W2B03b, W2B04a		1	0	1
RX-42	192.168.104.142	W2C00a, W2C01a		1	0	1
RX-43	192.168.104.143	W2C01b		1	0	1
RX-44	192.168.104.144			1	0	1
RX-45	192.168.104.145	W2D01a		1	0	1
