System_Name	ip	Tile(s)	Stream(s)	Use_OSC_In	Send_OSC_Out	Do_Render
VX-02	192.168.103.82			1	0	1
VX-06	192.168.103.86	W2A1		1	0	1
VX-07	192.168.103.87	W2A2, S2AC1, B2AC1		1	0	1
VX-08	192.168.103.88	W2C1, W2D1		1	0	1
VX-09	192.168.103.89	W2B1		1	0	1
VX-10	192.168.103.90	W2B2, S2AB1		1	0	1
VX-11	192.168.103.91	F2A1		1	0	1
VX-12	192.168.103.92	F2A2		1	0	1
VX-13	192.168.103.93	F2A3		1	0	1
VX-14	192.168.103.94	F2A4		1	0	1
VX-15	192.168.103.95	F2A4		1	0	1
VX-17	192.168.103.97	W1A1, W1A2, W1A3, W1A4, F1A1, W2A1, W2A2, W2B1, W2B2, W2C1, W2D1, F2A1, F2A2, F2A3, F2A4, S2AB1, S2AC1, B2AC1		1	0	1
VX-18	192.168.103.98	W1A1, W1A2, W1A3, W1A4, F1A1, W2A1, W2A2, W2B1, W2B2, W2C1, W2D1, F2A1, F2A2, F2A3, F2A4, S2AB1, S2AC1, B2AC1		1	0	1
