System_Name	ip	Tile(s)	Use_OSC_In	Send_OSC_Out	Do_Render
VX-02	192.168.103.82		1	0	1
VX-06	192.168.103.86		1	0	1
VX-07	192.168.103.87		1	0	1
VX-08	192.168.103.88		1	0	1
VX-09	192.168.103.89		1	0	1
VX-10	192.168.103.90		1	0	1
VX-11	192.168.103.91		1	0	1
VX-12	192.168.103.92		1	0	1
VX-13	192.168.103.93		1	0	1
VX-14	192.168.103.94		1	0	1
VX-15	192.168.103.95		1	0	1
VX-17	192.168.103.97	W2A01, W2A00, W2A03, W2A02, W1A04, W2A04, W1A01, F2A04, F2A05, F2A06, F2A07, F1A01, F2A01, F2A02, F2A03, W1A03, W1A02, W1A00	1	0	1
VX-18	192.168.103.98	W2A01, W2A00, W2A03, W2A02, W1A04, W2A04, W1A01, F2A04, F2A05, F2A06, F2A07, F1A01, F2A01, F2A02, F2A03, W1A03, W1A02, W1A00	1	0	1
